Artist,Song,Song Popularity,Artist Popularity,Featured Artist,Featured Artist Popularity,Track ID,Album Name,Release Date,Duration (ms),Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Kane Grocerys,Famous,37,37,Bladee,70.0,0ZpFcDy6SW4KBuqyCq1Kcg,Famous,2019-07-11,128091.0,True,0.726,0.668,0.0,-6.166,1.0,0.0781,0.341,0.0,0.204,0.209,130.011
Kane Grocerys,Shoot 'em Up (Goth Money Swag),22,37,Kane Grocerys,35.0,0RUGmNeXgyD9BQj4VjCoCd,Shoot 'em Up (Goth Money Swag),2016-04-20,282672.0,False,0.716,0.298,5.0,-12.452,0.0,0.211,0.23,0.0,0.063,0.112,135.075
Kane Grocerys,tough luvv souljah,17,37,Sickboyrari,60.0,2xAfYgDDEOGNm6BDsMquor,tough luvv souljah,2023-10-30,180572.0,True,0.492,0.529,1.0,-7.55,1.0,0.0601,0.0409,0.0,0.484,0.123,74.957
Kane Grocerys,Everything Big (feat. Lil Tracy),26,37,Lil Tracy,73.0,7yji4WjdsITbzsDTzJJV2U,"Yng x OG, Vol. 2",2016-09-25,136067.0,True,0.609,0.594,1.0,-7.967,1.0,0.339,0.0526,0.0,0.096,0.414,149.936
Kane Grocerys,Shyne Boyz 2K16 (feat. YNGX Dior),33,37,YNGX Dior,19.0,5Ice9fUs6LC0JDE6Akzz57,Gothlantastan,2016-12-01,240067.0,True,0.807,0.501,11.0,-6.794,1.0,0.316,0.0241,0.0,0.0895,0.167,135.679
Kane Grocerys,Groovy baby,7,37,,,3yyCxveyntV3l94DRGat0H,YNG Goth Vol 1,2017-03-01,137707.0,True,0.714,0.306,2.0,-15.703,1.0,0.104,0.000952,0.644,0.19,0.186,130.012
Kane Grocerys,taliban,9,37,Kane Grocerys,35.0,75XVOUazy8dtyWQiwvgjDW,Gothlantastan,2016-12-01,162040.0,True,0.713,0.358,5.0,-11.122,1.0,0.0368,0.173,0.0299,0.377,0.232,127.06
Kane Grocerys,Who Dat,24,37,,,4nZ2V61h0bCnth71lY5Vfc,Land Of Gothghanistan,2016-04-01,222613.0,True,0.468,0.421,1.0,-10.081,1.0,0.166,0.00495,0.0,0.364,0.11,141.971
Kane Grocerys,Youn Ont Snow The Half,21,37,,,4KjYkJrecTAwR1jgBzRJ5y,"Yng x OG, Vol. 2",2016-09-25,188027.0,True,0.843,0.286,9.0,-11.529,1.0,0.274,0.344,0.0,0.119,0.255,130.105
Kane Grocerys,10 Toes Down (feat. Sickboyrarri),15,37,Sickboyrarri,4.0,1MGtTcyOKSwHj78G9785Rz,ShyneBoyz2K16,2016-09-15,144267.0,True,0.728,0.511,3.0,-12.381,1.0,0.304,0.0244,0.0,0.1,0.148,134.138
Kane Grocerys,Quarter Sack (feat. MFK Marcy Mane),13,37,MFK Marcy Mane,12.0,4jDIQUBvJdoUjOCHMgU0nU,Gothlantastan,2016-12-01,236773.0,True,0.554,0.68,1.0,-13.633,0.0,0.349,0.121,0.0,0.48,0.512,145.991
Kane Grocerys,Beemah Boppin (feat. Blak Kray),9,37,Blak Kray,2.0,1lVCvLRIwW9Qt4RuRA9iO1,YNG Goth Vol 1,2017-03-01,238147.0,True,0.768,0.506,0.0,-12.917,0.0,0.0925,0.0688,0.0,0.0747,0.564,128.012
Kane Grocerys,Land Of Gothghanistan,14,37,,,1RwBeYPorbB0MH5KufQVfd,Land Of Gothghanistan,2016-04-01,180187.0,True,0.634,0.438,1.0,-12.491,1.0,0.359,0.325,0.0,0.135,0.173,154.207
Kane Grocerys,Sick Gang Shit,17,37,,,521CmkSzxOzX9O07z0hGwm,Gothlantastan,2016-12-01,152053.0,True,0.649,0.465,0.0,-8.365,1.0,0.0399,0.205,0.0,0.148,0.193,130.029
Kane Grocerys,S.I.P Dex Obama Freestyle,12,37,,,18OEwMcjEqJKT9ceRZXvh1,"Yng x OG, Vol. 2",2016-09-25,66560.0,True,0.687,0.417,0.0,-12.417,1.0,0.463,0.367,6.6e-06,0.166,0.261,184.874
Kane Grocerys,She Love The Way I Jug,12,37,,,0C40vNLDDT8Jkhw1lpO0aU,Land Of Gothghanistan,2016-04-01,200907.0,True,0.453,0.443,1.0,-10.347,1.0,0.297,0.0248,0.000583,0.148,0.0395,134.963
Kane Grocerys,Boost Mobile (feat. Luckleann),7,37,Luckleann,1.0,54wZS7TzFp9knHFpGvOZVo,YNG Goth Vol 1,2017-03-01,236120.0,True,0.727,0.864,11.0,-0.522,1.0,0.183,0.0163,0.0,0.0885,0.373,129.994
Kane Grocerys,Shyned Up,14,37,,,3sjKT0oULCUSLcRNBQZXTX,"Yng x OG, Vol. 2",2016-09-25,132333.0,True,0.449,0.542,9.0,-9.928,1.0,0.54,0.769,1.11e-06,0.0938,0.178,160.037
Kane Grocerys,Goth Trap House,18,37,,,7qiRO4zBVIuI0vgDVkOlbH,Trap Goth,2015-02-20,204000.0,True,0.702,0.91,1.0,-5.955,0.0,0.218,0.0261,0.0,0.322,0.439,111.915
Kane Grocerys,Who You tryna Fool,8,37,,,7kWAdUjSi8Si0RpHTfM9Xr,ShyneBoyz2K16,2016-09-15,121493.0,True,0.735,0.577,0.0,-10.381,0.0,0.0994,0.0368,0.00676,0.193,0.322,143.956
Kane Grocerys,Yola Rola,15,37,,,6L4Jgo3kCJVcK0x7zv0DSL,Trap Goth,2015-02-20,187374.0,True,0.822,0.749,1.0,-6.448,1.0,0.263,0.559,0.0,0.08,0.36,123.014
Kane Grocerys,Keep Your Head Up,10,37,,,0o4cueD0l2XylSTB9kd1bx,"Yng x OG, Vol. 2",2016-09-25,179507.0,True,0.608,0.252,1.0,-17.707,1.0,0.338,0.102,0.0516,0.119,0.0787,153.821
Kane Grocerys,Terror Gang,25,37,Thouxanbanfauni,56.0,3dc7TicrZKFQutyfjPaT3e,Dark Angels,2023-10-03,494000.0,True,0.589,0.933,5.0,-3.153,0.0,0.235,0.00789,1.23e-06,0.07,0.499,124.006
Kane Grocerys,Throwin 7's Up,9,37,,,0C23PqCrXYw2VBwMvbwUyI,Land Of Gothghanistan,2016-04-01,220133.0,True,0.61,0.536,9.0,-7.717,1.0,0.175,0.0557,4.16e-06,0.125,0.399,66.977
Kane Grocerys,Sticky Icky,13,37,,,7mt8qV6vCSOWrAuAkiEogY,Gothlantastan,2016-12-01,135173.0,True,0.701,0.618,4.0,-7.342,0.0,0.176,0.0502,0.0,0.167,0.348,135.03
Kane Grocerys,Run Thru A Check,9,37,,,0o6pbMm3zMqJWsZTVEKZP0,"Yng x OG, Vol. 2",2016-09-25,114693.0,True,0.395,0.885,7.0,-6.449,1.0,0.424,0.514,0.000342,0.312,0.416,169.711
Kane Grocerys,In The Sun,9,37,,,2EBYIcJPFxFAeoDVvxEdDv,Land Of Gothghanistan,2016-04-01,211093.0,True,0.742,0.562,0.0,-8.425,0.0,0.421,0.014,1.07e-06,0.303,0.208,129.593
Kane Grocerys,Make Way,8,37,,,55UTsdPV9nvhnTBGU4oLwp,"Yng x OG, Vol. 2",2016-09-25,174027.0,True,0.655,0.513,6.0,-13.158,1.0,0.0794,0.659,0.0,0.0733,0.295,110.17
Kane Grocerys,Boost Mobile,8,37,Luckaleannn,27.0,0exJdDAqAhe4Mji9jxUEXO,Goth Money Tech Palms 3 : Struggle Before the Shyne,2015-09-20,236146.0,True,0.735,0.874,11.0,-0.02,1.0,0.187,0.0158,0.0,0.0955,0.392,130.009
Kane Grocerys,Wanna Do,9,37,,,4rMGoMItRAaP8zI78QzX5y,Gothlantastan,2016-12-01,120053.0,True,0.732,0.653,7.0,-8.845,1.0,0.203,0.73,0.0,0.257,0.731,140.015
Kane Grocerys,Birdwalk,20,37,Black Kray,51.0,0HJEtSEkD0RzqqVvalpSg9,Trap Goth,2015-02-20,227524.0,True,0.68,0.784,9.0,-5.596,1.0,0.0709,0.726,0.000587,0.12,0.291,94.533
Kane Grocerys,(Intro) Flip Phones,10,37,,,2A3ahAtPlfxGGNl0PiTyKX,Trap Goth,2015-02-20,161174.0,True,0.632,0.613,5.0,-9.393,0.0,0.282,0.0131,1.2e-06,0.115,0.287,124.15
Kane Grocerys,Agenda,9,37,,,4gy2wgs53pqw145kxpAMTf,Land Of Gothghanistan,2016-04-01,197093.0,True,0.519,0.674,2.0,-6.023,1.0,0.334,0.00324,0.0,0.14,0.15,125.356
Kane Grocerys,WHIPE YA NOSE #GMR #GG #SOULJAHCLUB - YUNG CHEF MIX,16,37,Kane Grocerys,35.0,1wDYK2yMM8TI1zq9hYr3Cx,WHIPE YA NOSE #GMR #GG #SOULJAHCLUB (YUNG CHEF MIX),2024-09-04,168668.0,True,0.671,0.547,6.0,-8.752,0.0,0.091,0.0184,0.849,0.623,0.368,90.061
Kane Grocerys,Penny hardaway,7,37,,,4EqVqmq4E6KUlgytj9K71w,Land Of Gothghanistan,2016-04-01,132067.0,True,0.692,0.555,0.0,-7.912,0.0,0.162,0.631,5.98e-05,0.0784,0.271,135.004
Kane Grocerys,Cuban Link,17,37,Black Kray,51.0,3bfgGmxH28r3l3Zmu67gmO,Pentagrvm: Greatest Hits 2011-2018,2018-10-31,178076.0,True,0.86,0.707,7.0,-6.488,1.0,0.0859,0.287,0.0,0.321,0.514,129.933
Kane Grocerys,Wazzam,9,37,,,2BDtr7fEE674kLtrRqt6Fw,Gothlantastan,2016-12-01,193560.0,True,0.789,0.592,5.0,-7.92,1.0,0.17,0.73,1.19e-05,0.0769,0.44,129.965
Kane Grocerys,Paper Chasin,7,37,,,3gyzt5W0ycO5CZeYOKTPoK,Land Of Gothghanistan,2016-04-01,174933.0,True,0.507,0.476,1.0,-11.173,1.0,0.162,0.042,0.0,0.0953,0.321,129.848
Kane Grocerys,Stop Kallin My Phone,8,37,,,1OwIgfqYQOOeJAb2tHAPjd,Trap Goth,2015-02-20,250200.0,True,0.639,0.626,11.0,-5.144,0.0,0.286,0.551,0.0,0.239,0.183,100.204
Kane Grocerys,Dope Runna,36,37,Marcy Mane,40.0,6EBSgKPLfGO3ZkWjsiv4lf,Trap Goth,2015-02-20,259133.0,True,0.72,0.642,0.0,-5.256,1.0,0.249,0.0427,1.53e-06,0.124,0.341,137.803
Kane Grocerys,Get Money,11,37,,,0VAy5ka4Zcxv7H4ecNJ1CH,Trap Goth,2015-02-20,184000.0,True,0.772,0.816,4.0,-3.972,1.0,0.327,0.176,0.0,0.112,0.231,127.171
Kane Grocerys,So Icey,7,37,,,0NVCBIseBZjaeWusAoPi6u,Land Of Gothghanistan,2016-04-01,212680.0,True,0.7,0.417,11.0,-14.807,1.0,0.35,0.49,0.0,0.39,0.323,130.232
Kane Grocerys,Scope District,12,37,Kane Grocerys,35.0,0YdeR9GlG4rFJYyEAirU3Y,4000 Dagreez,2017-06-02,180166.0,True,0.586,0.487,1.0,-12.681,1.0,0.341,0.17,0.0,0.136,0.312,140.112
Kane Grocerys,Gothed Out,7,37,Luckaleannn,27.0,2VJZ4xAcNCaxj2uqgpAIkp,Trap Goth,2015-02-20,216750.0,True,0.663,0.626,3.0,-5.613,0.0,0.179,0.0428,0.0,0.418,0.419,147.019
Kane Grocerys,Woah,37,37,Fenix Flexin,68.0,4z9cIUxOLC2iW0QilK76T4,Woah,2017-01-08,147943.0,True,0.495,0.577,10.0,-9.058,0.0,0.296,0.172,0.0,0.0867,0.595,192.098
Kane Grocerys,Running Round,21,37,Kane Grocerys,35.0,5Srj4tDP70FA8CYqB9N0LF,Soulja Luv Rari World,2016-01-05,209954.0,True,0.722,0.445,1.0,-11.014,1.0,0.157,0.0545,0.0546,0.221,0.0778,138.971
Kane Grocerys,Yngx Flexican,8,37,,,1oGHqJ8rBS6yvrf26rGClA,Trap Goth,2015-02-20,105000.0,True,0.723,0.652,11.0,-6.291,0.0,0.111,0.00351,1.85e-06,0.0748,0.327,137.963
Kane Grocerys,Who Dees Niggaz Think Dey Is,8,37,,,6kSuAJENtUdGD8kpb4iwpS,Trap Goth,2015-02-20,160547.0,True,0.699,0.914,10.0,-3.947,0.0,0.322,0.193,2.72e-06,0.148,0.255,131.601
Kane Grocerys,Souljah,9,37,,,2EF8INfQkm4hMg4ivcaTFO,Trap Goth,2015-02-20,230000.0,True,0.578,0.811,11.0,-4.654,0.0,0.123,0.292,0.0,0.583,0.227,130.041
Kane Grocerys,Kush Pack,8,37,,,4uJpyzDfDBiqxvleBxIpxh,Trap Goth,2015-02-20,192750.0,True,0.55,0.743,8.0,-4.491,1.0,0.152,0.0715,0.0,0.161,0.112,138.119
