Artist,Song,Song Popularity,Artist Popularity,Featured Artist,Featured Artist Popularity,Track ID,Album Name,Release Date,Duration (ms),Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Curtis Walsh,Full Recovery,31,31,,,5iRdHQaLCTW165qzj2HM5c,Full Recovery,2018-07-27,176134,False,0.515,0.31,9,-9.752,1,0.0465,0.789,0,0.111,0.401,153.142
Curtis Walsh,Perfect Rain - Remix,29,31,Trial & Error,46.0,4q8IMtch1lVEtQX8bM7h59,Perfect Rain Remix,2018-11-23,172598,False,0.716,0.661,7,-7.253,1,0.0466,0.0745,1.19e-05,0.171,0.397,116.972
Curtis Walsh,Perfect Rain,29,31,,,4NNOyxGLkTe2rG3aEdFgYC,Perfect Rain,2018-11-02,163883,False,0.659,0.637,7,-6.496,1,0.0646,0.699,0,0.113,0.15,116.888
Curtis Walsh,Seven Seas (Konmak Remix),24,31,Konmak,12.0,7da0wlfvxMO6zpzOEgGgAT,Seven Seas Konmak Remix,2019-11-22,166956,False,0.822,0.922,6,-4.506,0,0.141,0.119,0,0.0629,0.506,115.086
Curtis Walsh,Seven Seas,23,31,,,1RpTxbZSfDqw0oNv3x7CST,Seven Seas,2019-07-26,165080,False,0.662,0.747,6,-5.693,0,0.059,0.336,0,0.294,0.708,90.006
Curtis Walsh,Killing Me Softly,16,31,,,0o1ZcT1jcog0pjgPEcNSs3,Killing Me Softly,2020-02-08,163531,False,0.598,0.294,2,-7.19,1,0.0265,0.785,0,0.256,0.355,96.882
Curtis Walsh,mm mm good (in the cellar),12,31,Curtisy,43.0,6aQQy6RB8LeQfqjluHZMy1,few beers,2023-08-30,215696,True,0.688,0.613,6,-7.886,0,0.258,0.258,0,0.448,0.658,86.976
Curtis Walsh,Landslide,12,31,loyalties,15.0,7DKsYgxFtvl3aTPcpOdAMp,Landslide,2023-12-08,187684,False,0.555,0.679,8,-5.906,0,0.0832,0.272,1.29e-06,0.127,0.399,98.78
Curtis Walsh,Time's Fading,14,31,,,56O9PQKg2UjQHBLZbin6p2,"""Times Fading""",2019-05-17,197509,False,0.714,0.351,6,-6.353,0,0.0399,0.667,0,0.145,0.331,120.18
Curtis Walsh,mm mm good (In The Cellar),12,31,Walshy,9.0,2tevRx2Z0cqBF8n9A1WEht,WHAT WAS THE QUESTION,2024-05-03,215695,True,0.631,0.7,6,-5.861,0,0.189,0.168,0,0.377,0.614,87.001
Curtis Walsh,Midnight,8,31,,,0QDXHAPzManj6nrpAaIDvq,Midnight,2020-07-24,193965,False,0.51,0.462,7,-6.461,1,0.034,0.0816,0,0.107,0.219,77.841
Curtis Walsh,God Only Knows,8,31,,,77r2qbzvzqDenyoK3syNXV,God Only Knows,2020-01-31,85849,False,0.57,0.264,2,-6.958,1,0.0304,0.703,0,0.142,0.54,97.353
Curtis Walsh,Midnight (Acoustic),6,31,,,1664DzlgYRIPLpGnVzCSCv,Midnight Acoustic,2022-04-07,176041,False,0.391,0.179,5,-12.857,1,0.0284,0.881,0,0.124,0.238,71.681
Curtis Walsh,Last Christmas,12,31,,,6TZ1aguP89tNQ6fLhq9Wsf,Last Christmas,2018-11-16,201351,False,0.537,0.13,8,-12.548,1,0.044,0.947,0,0.161,0.401,100.846
Curtis Walsh,Sarah,11,31,,,5ZF2R0BpHRJxjHR3F4tfUS,Sarah,2019-11-01,213719,False,0.458,0.191,10,-9.677,1,0.032,0.491,0,0.127,0.119,96.062
Curtis Walsh,mm mm good (In The Cellar),9,31,Walshy,9.0,3MisHby0a2tpAkhVIE2wbq,"""WHAT WAS THE QUESTION Deluxed""",2024-10-25,215695,True,0.631,0.7,6,-5.861,0,0.189,0.168,0,0.377,0.614,87.001
Curtis Walsh,Until I Fall,5,31,,,3qgkzLclq9OBG2wBV1mpGL,Until I Fall,2020-01-24,201370,False,0.466,0.362,7,-7.728,1,0.0275,0.565,0,0.116,0.131,91.594
Curtis Walsh,Almost The Same,7,31,,,2BeC0lctWLNN4MvHyiRe5V,Almost The Same,2020-09-25,178979,False,0.361,0.51,3,-7.566,1,0.0878,0.649,0,0.0759,0.364,203.618
Curtis Walsh,Seven Seas - Remix,3,31,Medii,25.0,67BQcFQGcdTV9gvOWtL9su,Seven Seas Remix,2019-10-11,191911,False,0.592,0.729,6,-8.106,0,0.0803,0.00473,0,0.139,0.307,101.945
Curtis Walsh,Perfect Rain - Ultrabeat Remix,11,31,Ultrabeat,28.0,7MCmuCX0PDAhOYo8rwDiuQ,Perfect Rain Ultrabeat Remix,2022-03-11,251666,False,0.718,0.785,11,-5.116,0,0.0564,0.0044,0,0.125,0.379,143.988
Curtis Walsh,Bend,4,31,Anna Pancaldi,47.0,01C3AhZgLGnR0FBobdGm9A,Bend,2021-02-25,235705,False,0.409,0.426,7,-11.698,1,0.0786,0.508,1.92e-05,0.0674,0.103,105.55
Curtis Walsh,Picture Perfect,8,31,,,6DYhafIpp1S7OtcbjHnpEn,Picture Perfect,2021-07-16,182000,False,0.706,0.599,11,-7.246,0,0.0609,0.342,0,0.295,0.843,120.019
Curtis Walsh,Sitting Ducks (Acoustic),1,31,,,0F4L5h8m4Iygx3QsBLdzA5,Sitting Ducks Acoustic,2022-03-24,158550,False,0.487,0.249,1,-14.872,1,0.0328,0.539,2.53e-06,0.39,0.302,99.391
Curtis Walsh,Sitting Ducks,4,31,,,41gTOwUNQnTlVmFmEk8r4a,Sitting Ducks,2021-10-22,224408,False,0.611,0.351,3,-10.356,1,0.0306,0.638,1.61e-05,0.0919,0.306,103.981
Curtis Walsh,mm mm good (in the cellar),3,31,Curtisy,43.0,40JHKlBdJdahsGi0WQ5vRI,mm mm good in the cellar,2023-08-04,215696,True,0.688,0.613,6,-7.886,0,0.258,0.258,0,0.448,0.658,86.976
Curtis Walsh,Seven Seas,0,31,,,2GIDYKaLBJGp8S67i40QUK,Breathe,2019-07-26,165080,False,0.662,0.747,6,-5.693,0,0.059,0.336,0,0.294,0.708,90.006
Curtis Walsh,Sitting Ducks (Acoustic),0,31,,,6WMnraEOgn9zHv2UQeyhcq,New Indie Folk; April 2022 Vol. 1 Indie Folk Central,2022-04-04,158550,False,0.487,0.249,1,-14.872,1,0.0328,0.539,2.53e-06,0.39,0.302,99.391
Curtis Walsh,Full Recovery,0,31,,,61CddtHpNSIuTZ7wlHAAi6,Breathe,2019-07-26,176134,False,0.515,0.31,9,-9.752,1,0.0465,0.789,0,0.111,0.401,153.142
Curtis Walsh,Time's Fading,0,31,,,49186xaKyeYpzwf603Gg1U,Breathe,2019-07-26,197509,False,0.714,0.351,6,-6.353,0,0.0399,0.667,0,0.145,0.331,120.18
Curtis Walsh,Perfect Rain,0,31,,,3nUZYdI9Xv7FFWd3z5tkVp,Breathe,2019-07-26,163883,False,0.659,0.637,7,-6.496,1,0.0646,0.699,0,0.113,0.15,116.888
Curtis Walsh,"A Midsummer Night's Dream, Act I, Scene 4: A Marvels Convenient Place",0,31,Kyle Huey,63.0,3uJhpiwcZLU58rL4mHsIag,"""Michael Ching: A Midsummer Nights Dream–opera a capella""",2014-08-01,140133,False,0.697,0.236,2,-11.078,0,0.0929,0.77,0,0.141,0.602,92.771
Curtis Walsh,"A Midsummer Night's Dream, Act II, Scene 3: Finale",0,31,Jeremiah Johnson,35.0,3DnDFSA2bbAAKuV9Im6hAz,"""Michael Ching: A Midsummer Nights Dream–opera a capella""",2014-08-01,93013,False,0.478,0.466,7,-10.052,1,0.259,0.514,1.55e-06,0.267,0.48,147.11
Curtis Walsh,"A Midsummer Night's Dream, Act II, Scene 3: The Wall (Reprise)",0,31,Jeremiah Johnson,35.0,2rpklvC4x8F431G7jXwsW3,"""Michael Ching: A Midsummer Nights Dream–opera a capella""",2014-08-01,54853,False,0.803,0.223,9,-11.209,1,0.251,0.89,0,0.17,0.499,83.899
Curtis Walsh,"A Midsummer Night's Dream, Act I, Scene 4: The Flowers of Odious Savors Sweet",0,31,Kyle Huey,63.0,5PyPuzb4wHHIQJfWuq56dM,"""Michael Ching: A Midsummer Nights Dream–opera a capella""",2014-08-01,61053,False,0.364,0.263,0,-9.992,1,0.0485,0.74,0,0.217,0.34,93.095
Curtis Walsh,"A Midsummer Night's Dream, Act II, Scene 3: The Wall",0,31,Jeremiah Johnson,35.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan
Curtis Walsh,"A Midsummer Night's Dream, Act II, Scene 3: The Actors are at Hand",0,31,Jeremiah Johnson,35.0,3TVoRhQpLwpTjxhnxFbHGf,"""Michael Ching: A Midsummer Nights Dream–opera a capella""",2014-08-01,59866,False,0.572,0.199,2,-10.189,1,0.0366,0.805,0,0.124,0.76,93.778
Curtis Walsh,"A Midsummer Night's Dream, Act I, Scene 4: Scene 4, Most Radiant Pyramus",0,31,Kyle Huey,63.0,0HiNMsdRhVQ3Z6Cg15iIQ6,"""Michael Ching: A Midsummer Nights Dream–opera a capella""",2014-08-01,121506,False,0.447,0.265,4,-9.846,1,0.146,0.826,0,0.123,0.439,172.022
Cuatro Gatos,El Fantasma de la Ópera,34,34,,,7FOkwBsKI1ayKDN9e4QpRq,Mañana Quizá Sea Peor,2009-01-13,242360,False,0.348,0.913,3,-0.723,1,0.043,0.00207,0.215,0.0582,0.333,132.077
Cuatro Gatos,Me Arriesgaré - Acústico,28,34,,,6akmz7yWaJGwyBPI7UNXH8,Me Arriesgaré,2010-09-30,241586,False,0.548,0.963,2,-2.338,1,0.0382,0.00135,0,0.0626,0.776,120.1
Cuatro Gatos,Adiós,27,34,,,0Au3JqDBwDbIuRMm6ax6Nu,El Sueño de la Razón,2009-02-09,310026,False,0.422,0.959,9,-1.352,0,0.0456,0.00156,0.0168,0.391,0.479,131.986
Cuatro Gatos,Una Promesa,27,34,,,5mM64XYoezxjWhOXOeblk6,La Caja de Música,2003-09-15,227893,False,0.548,0.476,2,-8.092,1,0.0292,0.4,0,0.0941,0.511,108.566
Cuatro Gatos,Quiero Morir,26,34,,,2qnr81NcTzIGdYyHMmGLID,El Sueño de la Razón,2009-02-09,333973,False,0.294,0.886,1,-1.8,0,0.0414,0.000702,0.345,0.0975,0.286,156.161
Cuatro Gatos,Mañana Quiza Sea Peor,26,34,,,3q7iwolUGDKQodyc1oz4f7,El Sueño de la Razón,2009-02-09,285920,False,0.454,0.957,4,-1.95,0,0.0691,0.000335,0.0686,0.313,0.443,112.085
Cuatro Gatos,Adiós - Acústico,23,34,,,5XBtLAxFkcznqpfDe5v2fw,Me Arriesgaré,2010-09-30,297040,False,0.567,0.917,9,-3.832,0,0.0634,0.0979,0,0.939,0.468,126.109
Cuatro Gatos,Lo Que Hay Detrás,21,34,,,5Pqva02F0OZqj3AakSlUhQ,El Sueño de la Razón,2009-02-09,316613,False,0.488,0.725,0,-4.443,1,0.0305,0.00641,6.03e-05,0.197,0.131,135.875
Cuatro Gatos,Hermano Enemigo,23,34,,,0x7DvykXFMV4mgDUvPOzaF,La Caja de Música,2003-09-15,314000,False,0.477,0.948,0,-4.425,1,0.0691,0.0758,0.0113,0.291,0.17,121.974
Cuatro Gatos,La Caja de Música,17,34,,,0h2RXpwTvH3cpE3Svg2xfS,La Caja de Música,2003-09-15,449160,False,0.34,0.857,7,-4.839,1,0.0699,0.0842,0.0554,0.0899,0.124,162.563
Cuatro Gatos,Mas Allá de la Realidad,17,34,,,0GUDJSSbjxQYW1inpvwZu5,La Caja de Música,2003-09-15,320600,False,0.16,0.95,0,-2.587,0,0.109,0.0139,3.91e-05,0.0637,0.339,66.254
Cuatro Gatos,Todos los Ayeres,16,34,,,5ysOuJ1xmUNCWcEO9heuHz,La Caja de Música,2003-09-15,352160,False,0.382,0.939,0,-2.908,1,0.0641,0.00353,0.0445,0.0935,0.34,146.435
Cuatro Gatos,Desde el Infierno,2,34,,,58fbBLqMrHbGjY3J3QsC5K,La Caja de Música,2003-09-15,54480,False,0.308,0.176,11,-27.077,0,0.0547,0.00441,0.943,0.043,0.132,111.662
